student_id,age,gender,major,GPA,course_load,avg_course_grade,attendance_rate,enrollment_status,lms_logins_past_month,avg_session_duration_minutes,assignment_submission_rate,forum_participation_count,video_completion_rate,risk_level,ID,Name,Department,Year
S001,24.0,Other,Computer Science,2.42,5.0,67.2,0.71,Graduated,32.0,33.0,0.7,8.0,0.74,High,,,,
S002,21.0,Male,Arts,3.73,6.0,64.4,0.84,Leave,29.0,53.0,0.91,13.0,0.85,Medium,,,,
S003,22.0,Male,Computer Science,2.8,3.0,95.3,0.89,Graduated,34.0,69.0,0.58,18.0,0.99,Medium,,,,
S004,24.0,Male,Arts,2.59,4.0,73.7,0.98,Graduated,22.0,18.0,0.91,6.0,0.72,Medium,,,,
S005,20.0,Other,Computer Science,2.3,4.0,87.4,0.95,Active,9.0,11.0,0.77,15.0,0.76,High,,,,
S006,25.0,Male,Engineering,2.53,4.0,61.0,0.81,Active,18.0,65.0,0.61,19.0,0.76,Medium,,,,
S007,22.0,Female,Engineering,2.04,3.0,87.6,0.91,Active,27.0,39.0,0.7,4.0,0.77,High,,,,
S008,22.0,Other,Computer Science,3.17,4.0,72.6,0.82,Active,22.0,31.0,0.99,9.0,0.76,Medium,,,,
S009,24.0,Other,Computer Science,3.68,6.0,62.2,0.82,Active,3.0,84.0,0.89,17.0,0.5,Medium,,,,
S010,19.0,Other,Engineering,3.1,4.0,84.4,0.65,Active,19.0,22.0,0.79,10.0,0.5,High,,,,
S011,20.0,Other,Arts,2.44,4.0,69.6,0.65,Leave,18.0,80.0,0.56,6.0,0.55,High,,,,
S012,24.0,Female,Engineering,2.07,6.0,75.5,0.81,Active,26.0,25.0,0.71,13.0,0.55,High,,,,
S013,20.0,Other,Arts,2.43,4.0,63.2,0.71,Graduated,33.0,54.0,0.63,19.0,0.85,High,,,,
S014,20.0,Other,Computer Science,2.83,6.0,65.9,0.61,Leave,3.0,74.0,0.54,17.0,0.6,High,,,,
S015,25.0,Male,Computer Science,3.52,4.0,71.9,0.89,Graduated,37.0,20.0,0.77,10.0,0.95,Low,,,,
S016,22.0,Other,Arts,2.38,6.0,63.6,0.61,Active,6.0,79.0,0.94,11.0,0.96,High,,,,
S017,21.0,Female,Computer Science,3.44,4.0,96.4,0.84,Active,6.0,29.0,0.84,17.0,0.99,Medium,,,,
S018,25.0,Female,Arts,3.73,6.0,60.2,0.82,Graduated,25.0,72.0,0.62,1.0,0.97,Medium,,,,
S019,25.0,Female,Business,2.91,3.0,79.4,0.99,Graduated,25.0,21.0,0.79,0.0,0.64,Medium,,,,
S020,20.0,Female,Engineering,3.64,6.0,64.9,0.79,Graduated,18.0,71.0,0.97,9.0,0.75,Medium,,,,
S021,23.0,Other,Business,3.11,4.0,72.3,0.63,Leave,8.0,51.0,0.86,0.0,0.59,High,,,,
S022,22.0,Other,Arts,3.27,4.0,97.0,0.82,Active,19.0,78.0,0.84,5.0,0.9,Medium,,,,
S023,19.0,Female,Engineering,3.05,5.0,66.5,0.94,Graduated,15.0,67.0,0.98,6.0,0.94,Low,,,,
S024,25.0,Female,Arts,2.93,6.0,98.6,1.0,Active,16.0,14.0,0.9,16.0,0.93,Medium,,,,
S025,21.0,Other,Engineering,2.47,3.0,68.2,0.77,Graduated,21.0,36.0,0.57,8.0,0.72,High,,,,
S026,23.0,Female,Engineering,2.61,6.0,89.7,0.73,Active,12.0,37.0,0.67,6.0,0.88,High,,,,
S027,23.0,Male,Engineering,2.58,6.0,81.9,0.96,Leave,11.0,35.0,0.98,16.0,0.55,Medium,,,,
